country_name,country_text_id,year,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,deaths_late,deaths_mid,deaths_early,deaths_sum,gdppc,population,dem_cat
Mauritius,MUS,2020,0.625,0.504,0.395,0.552,0.49,-3.0047633028435998e-5,-1.4721572095289698e-4,-1.3518520110885615e-4,-3.124485550901891e-4,20138.57,1273428,middle
Montenegro,MNE,2020,0.454,0.347,0.298,0.339,0.343,0.00164439023072207,0.002094141433932684,2.909097824464707e-4,0.004029441447101225,19504.16,628051,middle
New Zealand,NZL,2020,0.894,0.846,0.698,0.776,0.798,-9.822200694012374e-5,-5.057844757768454e-5,-3.5437878925572753e-4,-5.031792437735358e-4,35336.14,4860642,democracy
Norway,NOR,2020,0.899,0.855,0.647,0.871,0.856,-2.6038810596579467e-5,-1.0973373013027761e-4,5.483152333329977e-5,-8.094101739355731e-5,84580.14,5465629,democracy
Oman,OMN,2020,0.176,0.139,0.122,0.059,0.188,5.91177306537159e-4,1.3640057095451325e-4,1.3504124269276326e-4,8.626191201844357e-4,36477.64,5223376,autocracy
Paraguay,PRY,2020,0.581,0.426,0.361,0.358,0.255,0.0017656734261311514,4.8134678876858735e-4,-6.584957610905568e-5,0.002181170638790683,9338.95,7219641,middle
Romania,ROU,2020,0.76,0.552,0.572,0.379,0.543,0.0010269379105873337,0.00203717646310881,4.7452794604358573e-4,0.0035386423197397297,20126.29,19127772,democracy
Sao Tome and Principe,STP,2020,0.695,0.587,0.438,0.526,0.505,2.583505493799994e-4,1.0170796866999923e-4,2.7625279359999008e-5,3.876837974099977e-4,3730.2,223364,democracy
Saudi Arabia,SAU,2020,0.016,0.047,0.02,0.072,0.118,0.0018356412883899895,8.140713894599981e-4,0.0020487174300599944,0.004698430107909982,50304.75,35340680,autocracy
Serbia,SRB,2020,0.342,0.239,0.234,0.258,0.295,0.0019130790287770097,0.00209655348441795,6.90894950875787e-4,0.004700527464070746,14124.12,6908224,middle
Seychelles,SYC,2020,0.574,0.471,0.248,0.454,0.456,7.76927739586853e-4,-4.2560067550951306e-4,-0.0010244145760119362,-6.730875119345962e-4,29531.06,98910,middle
Singapore,SGP,2020,0.389,0.307,0.104,0.34,0.337,9.822292649500548e-5,-3.08883379503879e-5,-4.705082229362493e-5,2.0283766250992655e-5,68402.35,5896684,middle
Slovakia,SVK,2020,0.836,0.756,0.617,0.665,0.664,6.212497702994391e-4,0.0025905849904819234,8.75922754100138e-5,0.0032994270361913765,27075.53,5460726,democracy
Slovenia,SVN,2020,0.748,0.651,0.551,0.572,0.607,7.688381930904218e-5,0.0018138097085576054,5.815341027213339e-5,0.0019488469381387808,29244.92,2078723,democracy
Solomon Islands,SLB,2020,0.648,0.485,0.39,0.419,0.392,2.0853419089999217e-5,-5.9771910660000744e-5,-1.3793256393000069e-4,-1.768510555000022e-4,NA,703995,middle
Vanuatu,VUT,2020,0.745,0.64,0.452,0.627,0.571,2.898414861999919e-5,-9.055153303000091e-5,-1.263441998700006e-4,-1.8791158428000233e-4,NA,314464,democracy
United Arab Emirates,ARE,2020,0.1,0.091,0.04,0.087,0.14,7.380834279000005e-4,5.763836372000004e-4,4.747458893799999e-4,0.0017892129544800008,76397.82,9991083,autocracy
Hungary,HUN,2020,0.467,0.368,0.32,0.253,0.338,0.0011676438569001738,0.0017846823633950067,4.4073091501944845e-5,0.002996399311797125,25622.81,9634162,middle
